rank,arch,hidden,seq_len,epochs,lr,ewma,th_name,recalc_n,precision,recall,f1,accuracy,seg_det,seg_total,score
1,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r1,1,95.5,100.0,97.6,99.2,6,6,97.6
2,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w120 r1,1,95.3,100.0,97.5,99.0,6,6,97.5
3,GRU-AE,128,150,30,0.005,0.3,TH4 α3 w150 c2 r1,1,94.6,100.0,97.1,98.9,6,6,97.1
4,GRU-AE,128,150,30,0.005,0.3,TH4 α3 w150 c5 r1,1,94.6,100.0,97.1,98.9,6,6,97.1
5,GRU-AE,64,150,30,0.005,0.3,TH4 α3 w150 c2 r10,10,92.9,100.0,96.1,98.5,6,6,96.1
6,GRU-AE,64,150,30,0.005,0.3,TH4 α3 w150 c5 r10,10,92.9,100.0,96.1,98.5,6,6,96.1
7,GRU-AE,128,150,30,0.005,0.3,TH4 α3 w150 c2 r10,10,92.7,100.0,96.0,98.4,6,6,96.0
8,GRU-AE,128,150,30,0.005,0.3,TH4 α3 w150 c5 r10,10,92.7,100.0,96.0,98.4,6,6,96.0
9,GRU-AE,64,150,30,0.005,0.3,TH3 z2-10 w120 r1,1,92.5,100.0,95.9,98.2,6,6,95.9
10,GRU-AE,128,150,30,0.005,0.3,TH3 z2-10 w80 r1,1,91.7,100.0,95.5,98.0,6,6,95.5
11,GRU-AE,64,150,30,0.005,0.3,TH4 α2 w150 c2 r1,1,91.7,100.0,95.4,97.9,6,6,95.4
12,GRU-AE,64,150,30,0.005,0.3,TH4 α2 w150 c5 r1,1,91.7,100.0,95.4,97.9,6,6,95.4
13,GRU-AE,128,150,30,0.005,0.3,TH3 z2-10 w120 r1,1,91.5,100.0,95.3,97.8,6,6,95.3
14,GRU-AE,128,150,30,0.005,0.3,TH4 α2 w150 c2 r1,1,91.3,100.0,95.2,97.9,6,6,95.2
15,GRU-AE,128,150,30,0.005,0.3,TH4 α2 w150 c5 r1,1,91.3,100.0,95.2,97.9,6,6,95.2
16,GRU-AE,64,150,30,0.005,0.3,TH4 α2 w150 c2 r10,10,91.2,100.0,95.1,97.8,6,6,95.1
17,GRU-AE,64,150,30,0.005,0.3,TH4 α2 w150 c5 r10,10,91.2,100.0,95.1,97.8,6,6,95.1
18,GRU-AE,128,150,30,0.005,0.3,TH4 α2 w150 c2 r10,10,91.2,100.0,95.1,97.8,6,6,95.1
19,GRU-AE,128,150,30,0.005,0.3,TH4 α2 w150 c5 r10,10,91.2,100.0,95.1,97.8,6,6,95.1
20,GRU-AE,256,150,30,0.005,0.3,TH4 α2 w150 c2 r1,1,91.0,100.0,95.0,97.8,6,6,95.0
21,GRU-AE,256,150,30,0.005,0.3,TH4 α2 w150 c5 r1,1,91.0,100.0,95.0,97.8,6,6,95.0
22,GRU-AE,64,100,30,0.005,0.3,TH3 z3-10 w80 r1,1,91.2,100.0,94.9,98.7,6,6,94.9
23,GRU-AE,256,150,30,0.005,0.3,TH4 α2 w150 c2 r10,10,90.5,100.0,94.7,97.7,6,6,94.7
24,GRU-AE,256,150,30,0.005,0.3,TH4 α2 w150 c5 r10,10,90.5,100.0,94.7,97.7,6,6,94.7
25,GRU-AE,64,150,30,0.005,0.3,TH3 z3-10 w120 r10,10,90.8,100.0,94.6,98.6,6,6,94.6
26,GRU-AE,128,150,30,0.005,0.3,TH2 α3.5 w80 r10,10,90.8,100.0,94.6,98.6,6,6,94.6
27,GRU-AE,64,150,30,0.005,0.3,TH3 z3-10 w80 r10,10,90.8,100.0,94.6,98.6,6,6,94.6
28,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r10,10,90.7,100.0,94.5,98.6,6,6,94.5
29,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w120 r10,10,90.3,100.0,94.3,98.2,6,6,94.3
30,GRU-AE,64,150,30,0.005,0.3,TH3 z2-10 w120 r10,10,89.5,100.0,93.9,97.6,6,6,93.9
31,GRU-AE,64,50,30,0.005,0.3,TH4 α2 w150 c2 r1,1,89.5,100.0,93.7,98.2,6,6,93.7
32,GRU-AE,64,50,30,0.005,0.3,TH4 α2 w150 c5 r1,1,89.5,100.0,93.7,98.2,6,6,93.7
33,GRU-AE,128,50,30,0.005,0.3,TH4 α2 w150 c2 r1,1,89.4,100.0,93.7,98.2,6,6,93.7
34,GRU-AE,128,50,30,0.005,0.3,TH4 α2 w150 c5 r1,1,89.4,100.0,93.7,98.2,6,6,93.7
35,GRU-AE,128,150,30,0.005,0.3,TH3 z2-10 w120 r10,10,89.0,100.0,93.7,97.5,6,6,93.7
36,GRU-AE,256,150,30,0.005,0.3,TH3 z2-10 w120 r10,10,88.8,100.0,93.6,97.5,6,6,93.6
37,GRU-AE,256,50,30,0.005,0.3,TH4 α2 w150 c2 r1,1,89.0,100.0,93.4,98.1,6,6,93.4
38,GRU-AE,256,50,30,0.005,0.3,TH4 α2 w150 c5 r1,1,89.0,100.0,93.4,98.1,6,6,93.4
39,GRU-AE,128,150,30,0.005,0.3,TH3 z2-10 w80 r10,10,88.2,100.0,93.3,97.4,6,6,93.3
40,GRU-AE,128,100,30,0.005,0.3,TH3 z2-10 w80 r1,1,88.4,100.0,93.2,97.7,6,6,93.2
41,GRU-AE,64,100,30,0.005,0.3,TH2 α3.5 w80 r10,10,88.7,100.0,93.1,98.1,6,6,93.1
42,GRU-AE,128,100,30,0.005,0.3,TH3 z3-10 w80 r10,10,88.7,100.0,93.1,98.1,6,6,93.1
43,GRU-AE,256,100,30,0.005,0.3,TH3 z3-10 w80 r10,10,88.7,100.0,93.1,98.1,6,6,93.1
44,GRU-AE,256,150,30,0.005,0.3,TH3 z2-10 w80 r1,1,87.7,100.0,92.7,97.7,6,6,92.7
45,GRU-AE,64,100,30,0.005,0.3,TH4 α3 w150 c2 r10,10,87.8,100.0,92.6,97.7,6,6,92.6
46,GRU-AE,64,100,30,0.005,0.3,TH4 α3 w150 c5 r10,10,87.8,100.0,92.6,97.7,6,6,92.6
47,GRU-AE,128,50,30,0.005,0.3,TH4 α2 w150 c2 r10,10,87.2,100.0,92.0,97.7,6,6,92.0
48,GRU-AE,128,50,30,0.005,0.3,TH4 α2 w150 c5 r10,10,87.2,100.0,92.0,97.7,6,6,92.0
49,GRU-AE,64,50,30,0.005,0.3,TH4 α2 w150 c2 r10,10,86.6,100.0,91.7,97.3,6,6,91.7
50,GRU-AE,64,50,30,0.005,0.3,TH4 α2 w150 c5 r10,10,86.6,100.0,91.7,97.3,6,6,91.7
51,GRU-AE,64,150,30,0.005,0.3,TH3 z2-10 w80 r1,1,86.4,100.0,91.7,97.5,6,6,91.7
52,GRU-AE,256,50,30,0.005,0.3,TH4 α2 w150 c2 r10,10,86.6,100.0,91.7,97.3,6,6,91.7
53,GRU-AE,256,50,30,0.005,0.3,TH4 α2 w150 c5 r10,10,86.6,100.0,91.7,97.3,6,6,91.7
54,GRU-AE,256,150,30,0.005,0.3,TH3 z2-10 w80 r10,10,86.1,100.0,91.4,97.2,6,6,91.4
55,GRU-AE,256,100,30,0.005,0.3,TH3 z2-10 w80 r1,1,85.7,100.0,91.3,97.2,6,6,91.3
56,GRU-AE,64,100,30,0.005,0.3,TH3 z3-10 w80 r10,10,86.3,100.0,91.2,97.7,6,6,91.2
57,GRU-AE,256,100,30,0.005,0.3,TH3 z2-10 w120 r1,1,84.8,100.0,90.3,97.0,6,6,90.3
58,GRU-AE,128,100,30,0.005,0.3,TH3 z2-10 w80 r10,10,84.4,100.0,90.1,96.5,6,6,90.1
59,GRU-AE,128,100,30,0.005,0.3,TH3 z2-10 w120 r1,1,84.2,100.0,89.8,96.5,6,6,89.8
60,GRU-AE,64,100,30,0.005,0.3,TH3 z2-10 w80 r1,1,83.9,100.0,89.8,96.5,6,6,89.8
61,GRU-AE,64,150,30,0.005,0.3,TH3 z2-10 w80 r10,10,83.9,100.0,89.7,96.7,6,6,89.7
62,GRU-AE,64,100,30,0.005,0.3,TH3 z2-10 w120 r1,1,83.9,100.0,89.7,96.3,6,6,89.7
63,GRU-AE,128,100,30,0.005,0.3,TH4 α2 w150 c2 r1,1,83.6,100.0,89.4,96.2,6,6,89.4
64,GRU-AE,128,100,30,0.005,0.3,TH4 α2 w150 c5 r1,1,83.6,100.0,89.4,96.2,6,6,89.4
65,GRU-AE,64,150,30,0.005,0.3,TH2 α4.5 w80 r30,30,83.7,100.0,88.9,96.6,6,6,88.9
66,GRU-AE,64,100,30,0.005,0.3,TH4 α2 w150 c2 r1,1,83.0,100.0,88.9,95.9,6,6,88.9
67,GRU-AE,64,100,30,0.005,0.3,TH4 α2 w150 c5 r1,1,83.0,100.0,88.9,95.9,6,6,88.9
68,GRU-AE,128,150,30,0.005,0.3,TH2 α4.5 w80 r30,30,83.7,100.0,88.9,96.6,6,6,88.9
69,GRU-AE,256,150,30,0.005,0.3,TH2 α3.5 w80 r30,30,83.7,100.0,88.9,96.6,6,6,88.9
70,GRU-AE,256,150,30,0.005,0.3,TH2 α4.5 w80 r30,30,83.7,100.0,88.9,96.6,6,6,88.9
71,GRU-AE,64,150,30,0.005,0.3,TH2 α3.5 w80 r30,30,83.5,100.0,88.8,96.5,6,6,88.8
72,GRU-AE,128,100,30,0.005,0.3,TH4 α2 w150 c2 r10,10,82.7,100.0,88.8,95.6,6,6,88.8
73,GRU-AE,128,100,30,0.005,0.3,TH4 α2 w150 c5 r10,10,82.7,100.0,88.8,95.6,6,6,88.8
74,GRU-AE,128,150,30,0.005,0.3,TH2 α3.5 w80 r30,30,83.4,100.0,88.8,96.4,6,6,88.8
75,GRU-AE,256,100,30,0.005,0.3,TH4 α2 w150 c2 r1,1,83.2,100.0,88.7,96.3,6,6,88.7
76,GRU-AE,256,100,30,0.005,0.3,TH4 α2 w150 c5 r1,1,83.2,100.0,88.7,96.3,6,6,88.7
77,GRU-AE,256,100,30,0.005,0.3,TH3 z2-10 w120 r10,10,82.9,100.0,88.6,96.3,6,6,88.6
78,GRU-AE,128,100,30,0.005,0.3,TH3 z2-10 w120 r10,10,82.5,100.0,88.5,95.7,6,6,88.5
79,GRU-AE,256,100,30,0.005,0.3,TH3 z2-10 w80 r10,10,82.4,100.0,88.5,96.2,6,6,88.5
80,GRU-AE,256,100,30,0.005,0.3,TH4 α2 w150 c2 r10,10,82.2,100.0,88.0,95.8,6,6,88.0
81,GRU-AE,256,100,30,0.005,0.3,TH4 α2 w150 c5 r10,10,82.2,100.0,88.0,95.8,6,6,88.0
82,GRU-AE,64,100,30,0.005,0.3,TH3 z2-10 w120 r10,10,81.8,100.0,87.9,95.5,6,6,87.9
83,GRU-AE,128,150,30,0.005,0.3,TH1 P99 w50 r30,30,81.4,100.0,87.8,95.7,6,6,87.8
84,GRU-AE,64,100,30,0.005,0.3,TH2 α4.5 w80 r30,30,82.0,100.0,87.5,95.9,6,6,87.5
85,GRU-AE,64,100,30,0.005,0.3,TH4 α2 w150 c2 r10,10,81.2,100.0,87.5,95.1,6,6,87.5
86,GRU-AE,64,100,30,0.005,0.3,TH4 α2 w150 c5 r10,10,81.2,100.0,87.5,95.1,6,6,87.5
87,GRU-AE,64,100,30,0.005,0.3,TH3 z2-10 w80 r10,10,81.2,100.0,87.5,95.4,6,6,87.5
88,GRU-AE,64,100,30,0.005,0.3,TH2 α3.5 w80 r30,30,81.8,100.0,87.4,95.8,6,6,87.4
89,GRU-AE,256,100,30,0.005,0.3,TH2 α3.5 w80 r30,30,81.6,100.0,87.1,95.7,6,6,87.1
90,GRU-AE,128,100,30,0.005,0.3,TH2 α3.5 w80 r30,30,81.1,100.0,86.7,95.5,6,6,86.7
91,GRU-AE,256,150,30,0.005,0.3,TH1 P99 w50 r30,30,79.2,100.0,85.8,94.9,6,6,85.8
92,GRU-AE,128,150,30,0.005,0.3,TH1 P99 w30 r30,30,77.2,100.0,84.5,94.0,6,6,84.5
93,GRU-AE,128,100,30,0.005,0.3,TH1 P99 w50 r30,30,77.8,100.0,83.7,93.7,6,6,83.7
94,GRU-AE,256,100,30,0.005,0.3,TH1 P99 w50 r30,30,77.3,100.0,83.4,93.6,6,6,83.4
95,GRU-AE,256,50,30,0.005,0.3,TH1 P99 w50 r30,30,77.3,100.0,83.2,93.2,6,6,83.2
96,GRU-AE,256,150,30,0.005,0.3,TH1 P99 w30 r30,30,75.4,100.0,83.2,93.0,6,6,83.2
97,GRU-AE,128,100,30,0.005,0.3,TH1 P99 w30 r30,30,76.6,100.0,83.0,92.9,6,6,83.0
98,GRU-AE,64,150,30,0.005,0.3,TH1 P99 w50 r30,30,76.7,100.0,83.0,93.4,6,6,83.0
