rank,arch,hidden,seq_len,epochs,lr,ewma,th_name,recalc_n,precision,recall,f1,accuracy,seg_det,seg_total,score
1,GRU-AE,256,150,30,0.005,0.3,TH3 z3-10 w120 r1,1,95.4,100,97.5,99.2,6,6,97.5
2,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r5,5,95.4,100,97.5,99.2,6,6,97.5
3,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r5,5,95.4,100,97.5,99.2,6,6,97.5
4,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r5,5,95.4,100,97.5,99.2,6,6,97.5
5,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r5,5,95.4,100,97.5,99.2,6,6,97.5
6,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r5,5,95.4,100,97.5,99.2,6,6,97.5
7,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r5,5,95.4,100,97.5,99.2,6,6,97.5
8,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r5,5,95.4,100,97.5,99.2,6,6,97.5
9,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r5,5,95.4,100,97.5,99.2,6,6,97.5
10,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r5,5,95.4,100,97.5,99.2,6,6,97.5
11,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r5,5,95.4,100,97.5,99.2,6,6,97.5
12,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r5,5,95.4,100,97.5,99.2,6,6,97.5
13,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r5,5,95.4,100,97.5,99.2,6,6,97.5
14,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r5,5,95.4,100,97.5,99.2,6,6,97.5
15,GRU-AE,128,150,30,0.005,0.3,TH3 z3-10 w80 r5,5,95.4,100,97.5,99.2,6,6,97.5
