rank,arch,hidden,seq_len,epochs,lr,ewma,th_name,recalc_n,precision,recall,f1,accuracy,seg_det,seg_total,score
1,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
2,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
3,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
4,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
5,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
6,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
7,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
8,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
9,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
10,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
11,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
12,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
13,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
14,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
15,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
16,"GRU-AE",128,100,30,0.005,0.3,"TH3 z3-10 w80 r5",5,92.4,100.0,95.7,98.7,6,6,95.7
17,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
18,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
19,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
20,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
21,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
22,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
23,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
24,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
25,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
26,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
27,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
28,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
29,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
30,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
31,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
32,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
33,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
34,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
35,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
36,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
37,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
38,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-5 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
39,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
40,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
41,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
42,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
43,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
44,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
45,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
46,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
47,"GRU-AE",64,100,50,0.005,0.3,"TH3 z3-10 w80 r5",5,92.2,100.0,95.6,98.6,6,6,95.6
