Model,Threshold,Precision,Recall,F1,Accuracy,TP,FP,TN,FN,Seg_Detected,Seg_Total,F1_NOV_6_3,F1_NOV_12_6,F1_NOV_28_1,F1_NOV_6_5,F1_NOV_14_4,F1_NOV_20_1,F1_NOV_26_8
"LSTM-AE","P99 Static",42.6,90.6,57.9,87.6,3873,5226,35953,401,30,44,0.0,0.0,0.0,0.0,92.7,91.8,62.5
"LSTM-AE","Sliding Mu+αStd",62.6,73.8,67.7,93.4,3153,1885,39294,1121,24,44,0.0,0.0,0.0,0.0,98.9,0.0,50.4
"LSTM-AE","Adaptive-z",55.9,82.4,66.6,92.2,3520,2782,38397,754,26,44,0.0,0.0,0.0,0.0,97.7,0.0,94.6
"LSTM-AE","Entropy-lock",90.0,61.3,72.9,95.7,2621,293,40886,1653,18,44,0.0,0.0,0.0,0.0,99.9,0.0,97.2
"GRU-AE","P99 Static",45.3,97.9,62.0,88.7,4186,5051,36128,88,31,44,0.0,0.0,0.0,98.6,90.9,97.4,72.9
"GRU-AE","Sliding Mu+αStd",68.7,80.0,73.9,94.7,3420,1562,39617,854,23,44,0.0,0.0,0.0,100.0,100.0,0.0,46.1
"GRU-AE","Adaptive-z",59.5,90.7,71.9,93.3,3877,2639,38540,397,28,44,0.0,0.0,0.0,100.0,98.3,0.0,62.0
"GRU-AE","Entropy-lock",91.6,60.8,73.1,95.8,2598,239,40940,1676,17,44,0.0,0.0,0.0,0.0,99.9,0.0,93.3
"CNN-LSTM-AE","P99 Static",40.1,90.5,55.5,86.4,3870,5789,35390,404,30,44,0.0,0.0,0.0,0.0,94.2,97.2,66.0
"CNN-LSTM-AE","Sliding Mu+αStd",63.3,82.0,71.5,93.8,3506,2030,39149,768,26,44,0.0,0.0,0.0,100.0,100.0,0.0,44.3
"CNN-LSTM-AE","Adaptive-z",57.2,90.6,70.1,92.7,3873,2902,38277,401,27,44,0.0,0.0,0.0,98.6,98.9,0.0,66.0
"CNN-LSTM-AE","Entropy-lock",91.4,61.3,73.4,95.8,2621,246,40933,1653,18,44,0.0,0.0,0.0,0.0,99.9,0.0,97.2
"Plain-AE","P99 Static",43.4,98.8,60.3,87.8,4222,5509,35670,52,31,44,0.0,0.0,0.0,96.3,93.8,97.2,55.1
"Plain-AE","Sliding Mu+αStd",68.0,71.1,69.5,94.1,3039,1428,39751,1235,22,44,0.0,0.0,0.0,0.0,98.7,0.0,48.3
"Plain-AE","Adaptive-z",56.6,82.1,67.0,92.4,3509,2685,38494,765,26,44,0.0,0.0,0.0,100.0,97.7,0.0,68.6
"Plain-AE","Entropy-lock",92.2,59.8,72.6,95.8,2557,215,40964,1717,15,44,0.0,0.0,0.0,0.0,0.0,0.0,70.6
"Plain-LSTM","P99 Static",36.9,98.8,53.7,84.0,4221,7222,33957,53,31,44,0.0,0.0,0.0,99.4,86.4,97.2,41.4
"Plain-LSTM","Sliding Mu+αStd",62.7,89.4,73.7,94.0,3821,2273,38906,453,24,44,0.0,0.0,0.0,100.0,100.0,0.0,41.7
"Plain-LSTM","Adaptive-z",56.7,91.5,70.0,92.6,3912,2991,38188,362,28,44,0.0,0.0,0.0,100.0,97.7,0.0,64.2
"Plain-LSTM","Entropy-lock",92.5,60.7,73.3,95.8,2592,210,40969,1682,16,44,0.0,0.0,0.0,0.0,99.9,0.0,97.2
"LSTM-Attention-AE","P99 Static",43.6,98.8,60.5,87.9,4221,5458,35721,53,31,44,0.0,0.0,0.0,98.5,91.8,97.7,61.4
"LSTM-Attention-AE","Sliding Mu+αStd",63.3,80.4,70.8,93.8,3437,1993,39186,837,23,44,0.0,0.0,0.0,0.0,100.0,0.0,47.3
"LSTM-Attention-AE","Adaptive-z",58.0,93.2,71.5,93.0,3982,2884,38295,292,26,44,0.0,0.0,0.0,100.0,99.4,98.2,69.3
"LSTM-Attention-AE","Entropy-lock",90.3,51.1,65.3,94.9,2186,235,40944,2088,15,44,0.0,0.0,0.0,0.0,0.0,0.0,97.2
